class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
9T,ICT,7,12,2011-09-30,1,2,Timetabled,1,,2012-07-20
10IZ,ICT,7,10,2011-09-27,1,2,Timetabled,1,,2012-07-20
10IX,ICT,7,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
11IZ,ICT,7,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
9C,ICT,7,10,2011-09-30,1,2,Timetabled,1,,2012-07-20
9S,ICT,7,13,2011-09-27,1,2,Timetabled,1,,2012-07-20
7T,ICT,7,13,2011-09-28,1,2,Timetabled,1,,2012-07-20
9A,ICT,7,13,2011-09-29,1,2,Timetabled,1,,2012-07-20
11B/MD1,MEDIA,7,13,2011-09-30,1,2,Timetabled,1,,2012-07-20
9A,ICT,7,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
8A,ICT,7,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
9S,ICT,7,14,2011-09-30,1,2,Timetabled,1,,2012-07-20
8S,ICT,7,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
11HA,ICT,7,15,2011-09-28,1,2,Timetabled,1,,2012-07-20
9T,ICT,7,15,2011-09-29,1,2,Timetabled,1,,2012-07-20
11IX,ICT,7,15,2011-09-30,1,2,Timetabled,1,,2012-07-20
11HA,ICT,7,12,2011-10-03,1,1,Timetabled,1,,2012-07-20
10IY,ICT,7,12,2011-10-04,1,1,Timetabled,1,,2012-07-20
11IY,ICT,7,12,2011-10-06,1,1,Timetabled,1,,2012-07-20
11SR3,ICT,7,12,2011-10-07,1,1,Timetabled,1,,2012-07-20
10IZ,ICT,7,10,2011-10-04,1,1,Timetabled,1,,2012-07-20
9F,ICT,7,10,2011-10-05,1,1,Timetabled,1,,2012-07-20
11IZ,ICT,7,10,2011-10-06,1,1,Timetabled,1,,2012-07-20
9C,ICT,7,10,2011-10-07,1,1,Timetabled,1,,2012-07-20
7T,ICT,7,13,2011-10-03,1,1,Timetabled,1,,2012-07-20
9S,ICT,7,13,2011-10-04,1,1,Timetabled,1,,2012-07-20
9F,ICT,7,13,2011-10-06,1,1,Timetabled,1,,2012-07-20
11B/MD1,MEDIA,7,13,2011-10-07,1,1,Timetabled,1,,2012-07-20
10IX,ICT,7,14,2011-10-03,1,1,Timetabled,1,,2012-07-20
8A,ICT,7,14,2011-10-06,1,1,Timetabled,1,,2012-07-20
9S,ICT,7,14,2011-10-07,1,1,Timetabled,1,,2012-07-20
8S,ICT,7,15,2011-10-03,1,1,Timetabled,1,,2012-07-20
11IX,ICT,7,15,2011-10-07,1,1,Timetabled,1,,2012-07-20
