class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff
10HA/BC1,Business,E8,PERIOD 4,2011-02-10,1,1,HM,1,HM
10XS/BC1,Business,E8,PERIOD 5 ,2011-02-10,1,1,HM,1,HM
10EH/Bs1 ,Business,E8,PERIOD 2,2011-02-11,1,1,AL,1,AL
10B/BS1,Business,E8,PERIOD 3,2011-02-11,1,1,LC,1,LC
11XC/BC1,Business,E8,PERIOD 4,2011-02-11,1,1,LC,1,LC
10YS/BC1,Business,E8,PERIOD 5,2011-02-11,1,1,FX,1,FX
11XY/BCX,Business,E8,PERIOD 2,2011-02-14,1,2,LC,1,LC
10B/BS1,Business,E8,PERIOD 3,2011-02-14,1,2,LC,1,LC
11EH/BS,Business,E8,PERIOD 4,2011-02-14,1,2,LC,1,LC
11YS/BC1,Business,E8,PERIOD 2,2011-02-15,1,2,HM,1,HM
10YC/BC1,Business,E8,PERIOD 3,2011-02-15,1,2,HM,1,HM
12D/BQ1B ,Business,E8,PERIOD 4,2011-02-15,1,2,HM,1,HM
10XS/BC1,Business,E8,PERIOD 5,2011-02-15,1,2,HM,1,HM
10EH/Bs1 ,Business,E8,PERIOD 2,2011-02-16,1,2,AL,1,AL
13D/BQ1C,Business,E8,PERIOD 3,2011-02-16,1,2,LC,1,LC
10HA/BC1,Business,E8,PERIOD 4,2011-02-16,1,2,LC,1,LC
10XY/BCX1,Business,E8,PERIOD 5,2011-02-16,1,2,MK,1,MK
10XC/BC1,Business,E8,PERIOD 2,2011-02-17,1,2,HM,1,HM
11YC/BC1B,Business,E8,PERIOD 3,2011-02-17,1,2,HM,1,HM
10HA/BC1,Business,E8,PERIOD 4,2011-02-17,1,2,HM,1,HM
12D/BQ1B ,Business,E8,PERIOD 5,2011-02-17,1,2,HM,1,HM
10HA/BC1,Business,E8,PERIOD 2,2011-02-18,1,2,LC,1,LC
10B/BS1,Business,E8,PERIOD 3,2011-02-18,1,2,LC,1,LC
11XC/BC1,Business,E8,PERIOD 4,2011-02-18,1,2,FX,1,FX
10YS/BC1,Business,E8,PERIOD 5,2011-02-18,1,2,FX,1,FX
12A/LC1B,ICT,H5,PERIOD 1,2011-02-07,1,1,RN,1,RN
11TZ/TL1B,ICT,H5,PERIOD 2,2011-02-07,1,1,RN,1,RN
8C/IT,ICT,H5,PERIOD 3,2011-02-07,1,1,RN,1,RN
10IX/LC2,ICT,H5,PERIOD 5,2011-02-07,1,1,RN,1,RN
10IY/LC2,ICT,H5,PERIOD 1,2011-02-08,1,1,RN,1,RN
10IZ/LC2,ICT,H5,PERIOD 2,2011-02-08,1,1,RN,1,RN
12A/LC1B,ICT,H5,PERIOD 3,2011-02-08,1,1,RN,1,RN
9F/IT,ICT,H5,PERIOD 4,2011-02-08,1,1,RN,1,RN
11IX/LCC3,ICT,H5,PERIOD 5,2011-02-08,1,1,RN,1,RN
9A/IT,ICT,H5,PERIOD 2,2011-02-09,1,1,RN,1,RN
9S/IT,ICT,H5,PERIOD 4,2011-02-09,1,1,RN,1,RN
7B/IT,ICT,H5,PERIOD 5,2011-02-09,1,1,RN,1,RN
11IY/LC3,ICT,H5,PERIOD 1,2011-02-10,1,1,RN,1,RN
11IZ/LC3,ICT,H5,PERIOD 2,2011-02-10,1,1,RN,1,RN
7S/IT,ICT,H5,PERIOD 3,2011-02-10,1,1,RN,1,RN
13A/LCF1A,ICT,H5,PERIOD 4,2011-02-10,1,1,RN,1,RN
13E/LC1B,ICT,H5,PERIOD 5,2011-02-10,1,1,RN,1,RN
7A/IT,ICT,H5,PERIOD 2,2011-02-11,1,1,RN,1,RN
8P/IT,ICT,H5,PERIOD 3,2011-02-11,1,1,RN,1,RN
9E/IT,ICT,H5,PERIOD 4,2011-02-11,1,1,RN,1,RN
8B/IT,ICT,H5,PERIOD 5,2011-02-11,1,1,RN,1,RN
9A/IT,ICT,H5,PERIOD 1,2011-02-14,1,2,RN,1,RN
12A/LC1A,ICT,H5,PERIOD 2,2011-02-14,1,2,RN,1,RN
8C/IT,ICT,H5,PERIOD 3,2011-02-14,1,2,RN,1,RN
10IX/LC2,ICT,H5,PERIOD 5,2011-02-14,1,2,RN,1,RN
10IY/LC2,ICT,H5,PERIOD 1,2011-02-15,1,2,RN,1,RN
10IZ/LC2,ICT,H5,PERIOD 2 ,2011-02-15,1,2,RN,1,RN
9F/IT,ICT,H5,PERIOD 4,2011-02-15,1,2,RN,1,RN
11IX/LC3,ICT,H5,PERIOD 5,2011-02-15,1,2,RN,1,RN
7A/IT,ICT,H5,PERIOD 1 ,2011-02-16,1,2,RN,2,RN
7S/IT,ICT,H5,PERIOD 3,2011-02-16,1,2,RN,3,RN
9S/IT,ICT,H5,PERIOD 4,2011-02-16,1,2,RN,4,RN
7B/IT,ICT,H5,PERIOD 5,2011-02-16,1,2,RN,5,RN
11IY/LC3,ICT,H5,PERIOD 1,2011-02-17,1,2,RN,5,RN
11IZ/LC3,ICT,H5,PERIOD 2,2011-02-17,1,2,RN,5,RN
13A/LC1A,ICT,H5,PERIOD 4,2011-02-17,1,2,RN,5,RN
8B/IT,ICT,H5,PERIOD 5,2011-02-17,1,2,RN,5,RN
12A/IC1B,ICT,H5,PERIOD 2,2011-02-18,1,2,RN,5,RN
9E/IT,ICT,H5,PERIOD 4,2011-02-18,1,2,RN,5,RN
8P/IT,ICT,H5,PERIOD 5,2011-02-18,1,2,RN,5,RN
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
